year,pr
1850,2.1249753e-05
1851,1.5876769e-05
1852,2.0776988e-05
1853,1.8018563e-05
1854,3.2872176e-05
1855,2.5289582e-05
1856,1.1328167e-05
1857,1.8257037e-05
1858,2.3048478e-05
1859,1.9052577e-05
1860,1.9257599e-05
1861,2.0441697e-05
1862,2.239813e-05
1863,2.0736888e-05
1864,2.0101405e-05
1865,1.7983377e-05
1866,2.0250263e-05
1867,2.1939466e-05
1868,1.8204828e-05
1869,1.715888e-05
1870,1.9246234e-05
1871,1.5288664e-05
1872,1.978559e-05
1873,2.4131165e-05
1874,1.9676052e-05
1875,2.0100506e-05
1876,1.7099845e-05
1877,2.2563057e-05
1878,1.7886636e-05
1879,2.2145543e-05
1880,1.8095352e-05
1881,1.8557426e-05
1882,1.3517222e-05
1883,2.4258925e-05
1884,1.5621043e-05
1885,2.5677331e-05
1886,1.8571576e-05
1887,2.1846658e-05
1888,1.9748697e-05
1889,2.1443084e-05
1890,1.8377828e-05
1891,2.3539591e-05
1892,2.2199052e-05
1893,2.03794e-05
1894,2.0818186e-05
1895,1.787138e-05
1896,1.9664532e-05
1897,2.3929282e-05
1898,2.3350609e-05
1899,2.0266536e-05
1900,2.1248885e-05
1901,1.6816579e-05
1902,1.18119915e-05
1903,1.8453717e-05
1904,2.173766e-05
1905,1.9890442e-05
1906,1.8009574e-05
1907,2.16753e-05
1908,2.1775175e-05
1909,2.627869e-05
1910,1.5113998e-05
1911,2.5999532e-05
1912,3.0213923e-05
1913,2.6199468e-05
1914,1.9972691e-05
1915,2.4553588e-05
1916,1.9071711e-05
1917,1.9058878e-05
1918,2.461406e-05
1919,2.0145117e-05
1920,1.7686389e-05
1921,1.7598884e-05
1922,2.2650804e-05
1923,2.644849e-05
1924,2.3279666e-05
1925,2.3973975e-05
1926,2.457148e-05
1927,1.9661906e-05
1928,2.5457224e-05
1929,2.2091344e-05
1930,1.9132533e-05
1931,2.273395e-05
1932,2.3726703e-05
1933,1.6235328e-05
1934,1.7202128e-05
1935,2.2103484e-05
1936,1.5364463e-05
1937,1.6116277e-05
1938,2.1737776e-05
1939,2.299451e-05
1940,2.0972448e-05
1941,2.1800359e-05
1942,1.6436892e-05
1943,2.4402349e-05
1944,2.3403703e-05
1945,2.405787e-05
1946,2.2071066e-05
1947,1.9275554e-05
1948,1.9036557e-05
1949,2.5262154e-05
1950,1.8590874e-05
1951,2.4881354e-05
1952,2.7183756e-05
1953,1.8180042e-05
1954,2.2017837e-05
1955,1.9228803e-05
1956,2.1635475e-05
1957,2.2088556e-05
1958,2.3064293e-05
1959,2.4094186e-05
1960,2.0402913e-05
1961,2.0652122e-05
1962,2.3516995e-05
1963,1.8212986e-05
1964,2.3031858e-05
1965,2.6739704e-05
1966,1.6136915e-05
1967,1.7512715e-05
1968,2.0792517e-05
1969,1.9418732e-05
1970,2.2819388e-05
1971,1.6141286e-05
1972,1.7260127e-05
1973,2.082082e-05
1974,2.2325243e-05
1975,1.7483528e-05
1976,2.255269e-05
1977,1.7508824e-05
1978,1.7649543e-05
1979,2.2260283e-05
1980,2.4586354e-05
1981,2.4586401e-05
1982,1.6088105e-05
1983,2.7022388e-05
1984,1.5716867e-05
1985,2.4077619e-05
1986,2.0291185e-05
1987,2.3151426e-05
1988,2.1470294e-05
1989,1.7121145e-05
1990,2.3418193e-05
1991,2.6288631e-05
1992,2.3116336e-05
1993,1.8363326e-05
1994,2.5124773e-05
1995,2.0524727e-05
1996,2.1794573e-05
1997,2.1307065e-05
1998,3.259441e-05
1999,2.2263328e-05
2000,2.6022308e-05
2001,2.1295373e-05
2002,1.6534364e-05
2003,1.9482455e-05
2004,2.247485e-05
2005,2.0795835e-05
2006,1.4098424e-05
2007,2.3028204e-05
2008,2.6159249e-05
2009,2.3187396e-05
2010,1.705114e-05
2011,1.6448945e-05
2012,1.9123394e-05
2013,2.349764e-05
2014,1.7858081e-05
