year,pr
1850,3.45256e-05
1851,3.3662884e-05
1852,4.0012845e-05
1853,3.9363375e-05
1854,4.6069672e-05
1855,3.5555215e-05
1856,4.079596e-05
1857,3.1607822e-05
1858,3.9639985e-05
1859,4.183454e-05
1860,3.6214977e-05
1861,4.7322534e-05
1862,5.425135e-05
1863,3.694288e-05
1864,4.653877e-05
1865,3.9998824e-05
1866,4.3330605e-05
1867,3.645029e-05
1868,3.9971994e-05
1869,3.8734364e-05
1870,4.299962e-05
1871,3.7207632e-05
1872,4.2805175e-05
1873,4.3333148e-05
1874,2.8010027e-05
1875,2.9944138e-05
1876,4.5362256e-05
1877,4.4737175e-05
1878,4.5867884e-05
1879,4.2132622e-05
1880,3.3218857e-05
1881,4.9866318e-05
1882,3.071774e-05
1883,4.356118e-05
1884,2.7442817e-05
1885,3.4363336e-05
1886,4.0925293e-05
1887,3.79719e-05
1888,4.948862e-05
1889,2.9732853e-05
1890,3.675241e-05
1891,3.7575923e-05
1892,4.1596857e-05
1893,4.2007046e-05
1894,3.9780614e-05
1895,3.4011904e-05
1896,3.942813e-05
1897,4.050007e-05
1898,4.1435822e-05
1899,4.2450265e-05
1900,5.386265e-05
1901,3.393014e-05
1902,3.662613e-05
1903,4.0737115e-05
1904,5.1538893e-05
1905,4.8089052e-05
1906,4.6706475e-05
1907,4.0130675e-05
1908,4.3568947e-05
1909,3.446028e-05
1910,3.8167087e-05
1911,3.9934064e-05
1912,3.9594932e-05
1913,4.260355e-05
1914,3.4893004e-05
1915,3.7753372e-05
1916,3.712937e-05
1917,4.4200206e-05
1918,3.4252527e-05
1919,4.662258e-05
1920,4.926431e-05
1921,3.6183723e-05
1922,3.8090675e-05
1923,3.8153856e-05
1924,3.5819736e-05
1925,3.902545e-05
1926,3.6387904e-05
1927,4.541367e-05
1928,3.5920202e-05
1929,3.0966043e-05
1930,3.2825206e-05
1931,3.5629408e-05
1932,3.885975e-05
1933,3.2382693e-05
1934,4.025763e-05
1935,4.8904632e-05
1936,3.1777185e-05
1937,4.0501393e-05
1938,3.9522576e-05
1939,3.3444125e-05
1940,4.8611855e-05
1941,4.094643e-05
1942,4.020962e-05
1943,3.809495e-05
1944,5.9292466e-05
1945,4.093139e-05
1946,4.603696e-05
1947,4.1871528e-05
1948,3.490372e-05
1949,3.570237e-05
1950,2.9407192e-05
1951,3.1436863e-05
1952,5.21546e-05
1953,3.7946134e-05
1954,3.6600635e-05
1955,4.0799267e-05
1956,3.8161757e-05
1957,4.7690097e-05
1958,4.7796177e-05
1959,3.994996e-05
1960,4.1415366e-05
1961,3.4312245e-05
1962,3.7607955e-05
1963,3.0897925e-05
1964,3.4715205e-05
1965,4.4624423e-05
1966,3.4708446e-05
1967,3.5685935e-05
1968,4.1663632e-05
1969,4.2202617e-05
1970,2.927229e-05
1971,3.5541987e-05
1972,3.129954e-05
1973,2.7111031e-05
1974,4.4326454e-05
1975,2.9791745e-05
1976,3.6653113e-05
1977,4.0240895e-05
1978,4.470723e-05
1979,4.06696e-05
1980,4.8131373e-05
1981,2.5193858e-05
1982,3.631435e-05
1983,4.6865283e-05
1984,4.6157867e-05
1985,3.1961452e-05
1986,4.8621532e-05
1987,3.8385275e-05
1988,4.364347e-05
1989,3.5743804e-05
1990,3.4097637e-05
1991,3.7898575e-05
1992,3.3290235e-05
1993,4.2386953e-05
1994,4.8040463e-05
1995,3.0480154e-05
1996,4.098508e-05
1997,4.7120662e-05
1998,3.748252e-05
1999,4.347219e-05
2000,4.991146e-05
2001,3.469984e-05
2002,3.1654283e-05
2003,3.8792135e-05
2004,4.0700575e-05
2005,3.5377863e-05
2006,2.8145181e-05
2007,3.3555927e-05
2008,4.410358e-05
2009,4.9279024e-05
2010,5.4711265e-05
2011,3.3267806e-05
2012,3.8734623e-05
2013,4.0796924e-05
2014,2.8536237e-05
