year,pr
1850,2.9468536e-05
1851,2.1527963e-05
1852,2.7861557e-05
1853,2.0548185e-05
1854,2.608248e-05
1855,2.8454442e-05
1856,2.423489e-05
1857,2.4180159e-05
1858,2.7148026e-05
1859,3.0425212e-05
1860,2.7253516e-05
1861,2.5000913e-05
1862,4.1895208e-05
1863,2.9237613e-05
1864,2.8580487e-05
1865,2.9929528e-05
1866,3.1253778e-05
1867,2.567723e-05
1868,1.8677725e-05
1869,2.9583121e-05
1870,2.540573e-05
1871,1.989092e-05
1872,2.5237337e-05
1873,2.8251345e-05
1874,2.5691608e-05
1875,2.7114636e-05
1876,3.3121723e-05
1877,2.8311633e-05
1878,2.7232303e-05
1879,2.6404317e-05
1880,2.4186274e-05
1881,3.0198245e-05
1882,3.0856518e-05
1883,2.4447469e-05
1884,3.065432e-05
1885,2.581796e-05
1886,2.9725614e-05
1887,2.523115e-05
1888,3.2363707e-05
1889,2.8396971e-05
1890,2.4846158e-05
1891,2.7431734e-05
1892,2.4368688e-05
1893,2.7195514e-05
1894,3.5948513e-05
1895,2.5902074e-05
1896,2.5084608e-05
1897,3.387578e-05
1898,2.7044047e-05
1899,3.0236499e-05
1900,3.3991124e-05
1901,2.3235012e-05
1902,2.2620123e-05
1903,2.5542005e-05
1904,2.7828179e-05
1905,3.226698e-05
1906,2.207377e-05
1907,3.558144e-05
1908,3.2174765e-05
1909,2.9676346e-05
1910,3.2267963e-05
1911,3.0105499e-05
1912,3.2104726e-05
1913,3.1669602e-05
1914,3.5049146e-05
1915,3.3844226e-05
1916,3.0609688e-05
1917,2.7758837e-05
1918,2.1715685e-05
1919,2.78365e-05
1920,2.6754076e-05
1921,2.7528904e-05
1922,2.9401584e-05
1923,3.0794712e-05
1924,3.0675757e-05
1925,2.9587512e-05
1926,2.5287694e-05
1927,2.6102089e-05
1928,2.8033033e-05
1929,2.2433796e-05
1930,2.5581217e-05
1931,2.3988714e-05
1932,3.2384363e-05
1933,2.3457831e-05
1934,2.7868467e-05
1935,2.9837216e-05
1936,1.9875139e-05
1937,2.8617047e-05
1938,3.8815142e-05
1939,2.5768642e-05
1940,2.3669247e-05
1941,2.2887343e-05
1942,3.234064e-05
1943,3.2694887e-05
1944,2.7958024e-05
1945,2.6490381e-05
1946,2.1333892e-05
1947,2.2804215e-05
1948,2.5611964e-05
1949,4.1234744e-05
1950,2.6893902e-05
1951,2.0482634e-05
1952,3.214314e-05
1953,2.8463914e-05
1954,2.6012258e-05
1955,2.486651e-05
1956,3.0692754e-05
1957,2.8524537e-05
1958,3.3690383e-05
1959,3.0332156e-05
1960,2.730268e-05
1961,2.980156e-05
1962,2.5948302e-05
1963,3.2589738e-05
1964,2.4268356e-05
1965,2.3103039e-05
1966,2.8698923e-05
1967,2.6553906e-05
1968,2.7561542e-05
1969,2.3290788e-05
1970,3.0440975e-05
1971,3.0621984e-05
1972,2.6513166e-05
1973,2.5051042e-05
1974,3.2809163e-05
1975,2.920883e-05
1976,3.1898246e-05
1977,2.4059324e-05
1978,3.69995e-05
1979,3.1294978e-05
1980,2.689819e-05
1981,3.7268284e-05
1982,2.2529814e-05
1983,3.246011e-05
1984,1.9543415e-05
1985,2.3410457e-05
1986,2.7894303e-05
1987,2.2558123e-05
1988,3.0307416e-05
1989,2.4864044e-05
1990,2.903689e-05
1991,2.5840154e-05
1992,3.378376e-05
1993,2.5175963e-05
1994,2.8469642e-05
1995,2.5160816e-05
1996,3.079782e-05
1997,2.8620907e-05
1998,3.8913364e-05
1999,2.4558803e-05
2000,3.0570234e-05
2001,2.72848e-05
2002,2.2660428e-05
2003,3.6073037e-05
2004,3.40022e-05
2005,2.8262903e-05
2006,2.319497e-05
2007,2.7357099e-05
2008,3.5314144e-05
2009,3.5678764e-05
2010,3.212663e-05
2011,2.1965283e-05
2012,2.0964986e-05
2013,2.3801444e-05
2014,2.2147207e-05
