year,pr
1850,9.597857e-06
1851,1.0677349e-05
1852,9.696392e-06
1853,1.05863555e-05
1854,8.644207e-06
1855,8.5965185e-06
1856,9.6779295e-06
1857,1.0425582e-05
1858,7.969923e-06
1859,9.5425e-06
1860,6.7435635e-06
1861,6.948288e-06
1862,9.331861e-06
1863,7.9992e-06
1864,1.1493248e-05
1865,1.2398035e-05
1866,9.20228e-06
1867,8.206853e-06
1868,8.985871e-06
1869,8.350341e-06
1870,9.4610605e-06
1871,7.9323e-06
1872,8.504917e-06
1873,1.0549472e-05
1874,1.1275983e-05
1875,8.53925e-06
1876,1.07751175e-05
1877,1.03078255e-05
1878,9.574649e-06
1879,1.2577357e-05
1880,9.151575e-06
1881,7.78795e-06
1882,1.0149543e-05
1883,8.047833e-06
1884,8.044647e-06
1885,1.1114838e-05
1886,1.0373395e-05
1887,9.705942e-06
1888,8.8476745e-06
1889,9.2144e-06
1890,8.910886e-06
1891,1.142338e-05
1892,8.188993e-06
1893,7.969312e-06
1894,1.03215825e-05
1895,9.859525e-06
1896,5.9612025e-06
1897,1.0273688e-05
1898,7.027879e-06
1899,9.580585e-06
1900,8.40547e-06
1901,7.9015335e-06
1902,9.083647e-06
1903,8.828351e-06
1904,1.1024497e-05
1905,9.4199895e-06
1906,1.1239743e-05
1907,7.4098953e-06
1908,1.053787e-05
1909,9.912051e-06
1910,1.1913735e-05
1911,1.1002694e-05
1912,8.692018e-06
1913,1.0281503e-05
1914,9.150228e-06
1915,1.1423251e-05
1916,8.641428e-06
1917,8.302059e-06
1918,1.1573059e-05
1919,1.3459381e-05
1920,8.506334e-06
1921,9.742032e-06
1922,9.972049e-06
1923,7.1194295e-06
1924,7.877859e-06
1925,7.9327065e-06
1926,8.6965365e-06
1927,1.248917e-05
1928,1.3435694e-05
1929,8.220934e-06
1930,1.0488452e-05
1931,9.998962e-06
1932,1.1301224e-05
1933,8.424583e-06
1934,7.3861097e-06
1935,9.875901e-06
1936,1.1250059e-05
1937,8.567526e-06
1938,1.2657538e-05
1939,1.0136413e-05
1940,1.1427766e-05
1941,8.738747e-06
1942,6.889627e-06
1943,9.618643e-06
1944,9.472073e-06
1945,1.266155e-05
1946,7.6167157e-06
1947,7.9697775e-06
1948,7.477577e-06
1949,1.1045656e-05
1950,8.144528e-06
1951,8.881842e-06
1952,8.096364e-06
1953,8.812486e-06
1954,9.161911e-06
1955,7.67429e-06
1956,9.333011e-06
1957,8.891684e-06
1958,1.3866137e-05
1959,5.657846e-06
1960,1.1211887e-05
1961,9.552013e-06
1962,9.751503e-06
1963,8.954601e-06
1964,8.019243e-06
1965,1.0380182e-05
1966,1.0498499e-05
1967,8.302273e-06
1968,7.1456398e-06
1969,9.148512e-06
1970,1.0383235e-05
1971,1.0696995e-05
1972,7.7698905e-06
1973,1.07401875e-05
1974,1.0375877e-05
1975,7.87373e-06
1976,8.627671e-06
1977,9.634351e-06
1978,1.0094439e-05
1979,8.128676e-06
1980,7.559139e-06
1981,9.068671e-06
1982,7.717338e-06
1983,8.861404e-06
1984,8.683202e-06
1985,9.3248145e-06
1986,1.1917182e-05
1987,9.986797e-06
1988,9.901106e-06
1989,8.819969e-06
1990,7.553723e-06
1991,1.0993738e-05
1992,8.455894e-06
1993,9.0441845e-06
1994,8.782508e-06
1995,9.912103e-06
1996,1.0967234e-05
1997,1.14005725e-05
1998,7.002746e-06
1999,6.9858474e-06
2000,7.962121e-06
2001,8.195145e-06
2002,7.696243e-06
2003,8.514622e-06
2004,9.795723e-06
2005,1.0617817e-05
2006,8.611601e-06
2007,7.3698443e-06
2008,8.357041e-06
2009,1.1211885e-05
2010,9.421525e-06
2011,4.8893176e-06
2012,9.510459e-06
2013,8.101614e-06
2014,9.988924e-06
