year,pr
1854,2.1758849834441206e-05
1855,2.256681582366582e-05
1856,2.165709538530791e-05
1857,2.1153105080884416e-05
1858,2.2159088075568434e-05
1859,1.9395168237679172e-05
1860,1.8188771537097637e-05
1861,2.0011477681691757e-05
1862,2.083969629893545e-05
1863,2.0377378314151427e-05
1864,2.0587143808370456e-05
1865,2.0332299391156995e-05
1866,2.02940125745954e-05
1867,2.020227984758094e-05
1868,1.9695867740665564e-05
1869,1.910736282297876e-05
1870,1.935993423103355e-05
1871,1.8367614393355326e-05
1872,1.793683914002031e-05
1873,1.9122106459690257e-05
1874,1.962554088095203e-05
1875,1.9796395281446167e-05
1876,2.0158631377853455e-05
1877,2.0714124912046827e-05
1878,1.9465219156700187e-05
1879,1.995911734411493e-05
1880,1.955808656930458e-05
1881,1.9849602904287166e-05
1882,1.8040435861621518e-05
1883,1.9314893688715528e-05
1884,1.8009993618761654e-05
1885,1.9526389405655208e-05
1886,1.9529219389369246e-05
1887,2.119510645570699e-05
1888,2.0293060879339463e-05
1889,2.145746911992319e-05
1890,1.9997568597318604e-05
1891,2.099117155012209e-05
1892,2.106165047734976e-05
1893,2.1187791207921692e-05
1894,2.106281172018498e-05
1895,2.096152202284429e-05
1896,2.018651030084584e-05
1897,2.0532556300167924e-05
1898,2.1126797946635634e-05
1899,2.1016467871959322e-05
1900,2.1691968868253753e-05
1901,2.1122378166182897e-05
1902,1.8698920030146837e-05
1903,1.771954157447908e-05
1904,1.801376638468355e-05
1905,1.7742077761795372e-05
1906,1.7980676784645765e-05
1907,1.9953338414779866e-05
1908,2.0617630070773885e-05
1909,2.152583620045334e-05
1910,2.0570547530951443e-05
1911,2.216853918071138e-05
1912,2.387626391282538e-05
1913,2.4761122585914563e-05
1914,2.3499922644987236e-05
1915,2.538784065109212e-05
1916,2.4002276404644363e-05
1917,2.1771267347503455e-05
1918,2.145418584404979e-05
1919,2.1488670972757974e-05
1920,2.011523101828061e-05
1921,1.9820665693259797e-05
1922,2.0539050819934345e-05
1923,2.0905936617054975e-05
1924,2.1532846585614606e-05
1925,2.2790363800595514e-05
1926,2.4184882931876928e-05
1927,2.358710335101932e-05
1928,2.3388850240735338e-05
1929,2.3151185814640485e-05
1930,2.2182897373568268e-05
1931,2.1815391301061025e-05
1932,2.2628350779996254e-05
1933,2.0783971558557822e-05
1934,1.9806128329946658e-05
1935,2.040031868091319e-05
1936,1.8926421398646197e-05
1937,1.7404336176696233e-05
1938,1.8504825857235118e-05
1939,1.9663302373373882e-05
1940,1.9437095033936203e-05
1941,2.072427414532285e-05
1942,2.078839715977665e-05
1943,2.132131157850381e-05
1944,2.140315009455662e-05
1945,2.202023460995406e-05
1946,2.207437610195484e-05
1947,2.2642108524451034e-05
1948,2.1568950251094067e-05
1949,2.194064036302734e-05
1950,2.0847241103183478e-05
1951,2.140929864253849e-05
1952,2.2990939032752068e-05
1953,2.2819636069471016e-05
1954,2.217077271779999e-05
1955,2.22983584535541e-05
1956,2.1649182599503547e-05
1957,2.0630142535082997e-05
1958,2.1606992595479825e-05
1959,2.2022262419341133e-05
1960,2.2257084492594003e-05
1961,2.2060413903091104e-05
1962,2.234610183222685e-05
1963,2.1375840515247545e-05
1964,2.1163374913157896e-05
1965,2.2430733224609867e-05
1966,2.152769193344284e-05
1967,2.0326835874584502e-05
1968,2.0842742014792747e-05
1969,2.0120116823818533e-05
1970,1.9336053446750158e-05
1971,1.93369276530575e-05
1972,1.9286409951746464e-05
1973,1.92920706467703e-05
1974,1.987337273021694e-05
1975,1.8806200750987044e-05
1976,2.0088481323909946e-05
1977,2.0138220861554146e-05
1978,1.9503965449985117e-05
1979,1.949097350006923e-05
1980,2.0911538740620017e-05
1981,2.1318281142157502e-05
1982,2.1034137171227484e-05
1983,2.2908706159796566e-05
1984,2.1600022955681196e-05
1985,2.1498275964404455e-05
1986,2.0639232752728275e-05
1987,2.205189703090582e-05
1988,2.094147821480874e-05
1989,2.1222333816695028e-05
1990,2.1090448717586698e-05
1991,2.2289937987807207e-05
1992,2.2282919962890448e-05
1993,2.166152626159601e-05
1994,2.326225185242947e-05
1995,2.2683558563585392e-05
1996,2.178474678657949e-05
1997,2.142289267794695e-05
1998,2.4269109417218715e-05
1999,2.3696820426266642e-05
2000,2.4796336583676747e-05
2001,2.4696496620890684e-05
2002,2.3741956465528346e-05
2003,2.1119565644767135e-05
2004,2.11618698813254e-05
2005,2.011657525144983e-05
2006,1.867718547146069e-05
2007,1.997595336433733e-05
2008,2.1311312048055696e-05
2009,2.1453821500472258e-05
2010,2.070488244498847e-05
2011,2.117498661391437e-05
2012,2.0394024613779038e-05
2013,1.9861702821799553e-05
2014,1.8795839787344447e-05
