year,pr
1854,3.872687520924956e-05
1855,3.893279790645465e-05
1856,4.035941310576163e-05
1857,3.867840860038996e-05
1858,3.873373061651364e-05
1859,3.7886704376433045e-05
1860,3.801865677814931e-05
1861,3.932397157768719e-05
1862,4.38526774814818e-05
1863,4.3313256901456044e-05
1864,4.4254102976992724e-05
1865,4.50108724180609e-05
1866,4.4212486682226884e-05
1867,4.065227403771132e-05
1868,4.125809646211564e-05
1869,3.9697215106571095e-05
1870,4.02973746531643e-05
1871,3.907278005499393e-05
1872,4.034375742776319e-05
1873,4.101598824490793e-05
1874,3.8871120705152864e-05
1875,3.626002398959827e-05
1876,3.7890948806307276e-05
1877,3.827734872174915e-05
1878,3.878429597534705e-05
1879,4.160881508141756e-05
1880,4.226375895086676e-05
1881,4.316457125241868e-05
1882,4.036068421555683e-05
1883,3.989934339188039e-05
1884,3.6961382284061985e-05
1885,3.7190278089838105e-05
1886,3.540207326295786e-05
1887,3.6852905031992124e-05
1888,3.803839281317778e-05
1889,3.849640015687328e-05
1890,3.897421520377975e-05
1891,3.8304341069306246e-05
1892,3.9029332765494476e-05
1893,3.7533018257818185e-05
1894,3.9542570448247716e-05
1895,3.899446892319247e-05
1896,3.936491048079915e-05
1897,3.9145552727859466e-05
1898,3.903130782418884e-05
1899,3.9565237966598946e-05
1900,4.353538679424673e-05
1901,4.243578878231347e-05
1902,4.166100115980953e-05
1903,4.1521259845467284e-05
1904,4.3338985415175556e-05
1905,4.218426620354876e-05
1906,4.47395330411382e-05
1907,4.544044204521924e-05
1908,4.600680840667337e-05
1909,4.2591086094034834e-05
1910,4.060669307364151e-05
1911,3.925221099052578e-05
1912,3.9145062328316274e-05
1913,3.895198315149173e-05
1914,3.90385277569294e-05
1915,3.895578483934514e-05
1916,3.8394846342271194e-05
1917,3.9315901085501535e-05
1918,3.764569628401659e-05
1919,3.999161126557738e-05
1920,4.229379846947268e-05
1921,4.210466868244111e-05
1922,4.0882762550609184e-05
1923,4.166302824160084e-05
1924,3.950245954911225e-05
1925,3.745468784472905e-05
1926,3.749552415683865e-05
1927,3.896012349287048e-05
1928,3.8513392792083326e-05
1929,3.7542654172284526e-05
1930,3.630260544014163e-05
1931,3.615090608946048e-05
1932,3.4840121952584016e-05
1933,3.413262020330876e-05
1934,3.59909376129508e-05
1935,3.9206822839332746e-05
1936,3.843637823592871e-05
1937,3.8764706550864504e-05
1938,4.0192683081841095e-05
1939,3.8829982077004385e-05
1940,3.877142662531696e-05
1941,4.060527571709826e-05
1942,4.0546921081840995e-05
1943,4.026139577035792e-05
1944,4.5431064063450324e-05
1945,4.3894971167901534e-05
1946,4.491307699936442e-05
1947,4.524545875028707e-05
1948,4.460721247596666e-05
1949,3.988919343100861e-05
1950,3.7584353776765056e-05
1951,3.466433445282746e-05
1952,3.672094862849917e-05
1953,3.7329431870603e-05
1954,3.750908472284209e-05
1955,3.978749955422245e-05
1956,4.113247850909829e-05
1957,4.023957808385603e-05
1958,4.220958653604612e-05
1959,4.2879451211774724e-05
1960,4.300267100916244e-05
1961,4.223276846460067e-05
1962,4.0216340130427854e-05
1963,3.683668983285315e-05
1964,3.578973919502459e-05
1965,3.6431550688575955e-05
1966,3.6510790960164743e-05
1967,3.612638683989644e-05
1968,3.8279528234852477e-05
1969,3.9777010533725844e-05
1970,3.670658406917937e-05
1971,3.6873292265227066e-05
1972,3.599601332098246e-05
1973,3.308549312350806e-05
1974,3.3510260618641044e-05
1975,3.36141514708288e-05
1976,3.383637667866424e-05
1977,3.562464771675877e-05
1978,3.914388762495946e-05
1979,3.841251709673088e-05
1980,4.208044265396893e-05
1981,3.978859167546034e-05
1982,3.9003283018246296e-05
1983,3.9434893551515415e-05
1984,4.053254669997841e-05
1985,3.729856252903119e-05
1986,4.198409733362496e-05
1987,4.239828194840811e-05
1988,4.175391950411722e-05
1989,3.967110678786412e-05
1990,4.009834374301136e-05
1991,3.7953752325847745e-05
1992,3.6934744275640694e-05
1993,3.668344070320018e-05
1994,3.914277258445509e-05
1995,3.8419276097556573e-05
1996,3.9036577072693034e-05
1997,4.180266259936616e-05
1998,4.0821776201482864e-05
1999,3.9908121834741905e-05
2000,4.379438323667273e-05
2001,4.2537334957160054e-05
2002,3.9444059075322004e-05
2003,3.970598190790042e-05
2004,3.915165871148929e-05
2005,3.624493911047466e-05
2006,3.493400763545651e-05
2007,3.531433649186511e-05
2008,3.637662557594012e-05
2009,3.8092315298854375e-05
2010,4.195899564365391e-05
2011,4.298352068872191e-05
2012,4.4019259803462774e-05
2013,4.335792837082408e-05
2014,3.9209370879689234e-05
