year,pr
1854,2.509774421923794e-05
1855,2.4894925445551053e-05
1856,2.5436310897930527e-05
1857,2.4700031281099656e-05
1858,2.601999949547462e-05
1859,2.6888545835390688e-05
1860,2.66483606537804e-05
1861,2.680156503629405e-05
1862,3.0344574770424516e-05
1863,3.0762492315261625e-05
1864,3.039354742213618e-05
1865,3.092874976573512e-05
1866,3.217932280676905e-05
1867,2.893572709581349e-05
1868,2.6823749431059694e-05
1869,2.7024276278098114e-05
1870,2.6119516769540495e-05
1871,2.384694525972009e-05
1872,2.3758966926834545e-05
1873,2.5673690834082664e-05
1874,2.4895388196455315e-05
1875,2.5237169393221847e-05
1876,2.7883330039912836e-05
1877,2.8498189203673972e-05
1878,2.829438089975156e-05
1879,2.8436922730179503e-05
1880,2.78512503427919e-05
1881,2.7266554752714e-05
1882,2.7775531634688377e-05
1883,2.721856471907813e-05
1884,2.8068565006833525e-05
1885,2.839490225596819e-05
1886,2.8300375925027764e-05
1887,2.7175302238902078e-05
1888,2.875854988815263e-05
1889,2.8307080356171355e-05
1890,2.8112719883210956e-05
1891,2.765394383459352e-05
1892,2.7481451616040432e-05
1893,2.6447813070262782e-05
1894,2.795812142721843e-05
1895,2.816930464177858e-05
1896,2.7699879501597026e-05
1897,2.9601298228953966e-05
1898,2.9571004779427314e-05
1899,2.8428601945051922e-05
1900,3.004641184816137e-05
1901,2.9676492704311386e-05
1902,2.742536089499481e-05
1903,2.712495261221193e-05
1904,2.6643288583727555e-05
1905,2.629845985211432e-05
1906,2.6066211285069583e-05
1907,2.8658474911935626e-05
1908,2.998502677655779e-05
1909,3.0354660339071415e-05
1910,3.0354856789927e-05
1911,3.196120269421954e-05
1912,3.1265859797713345e-05
1913,3.116482730547432e-05
1914,3.223938729206566e-05
1915,3.2554639983573e-05
1916,3.265547784394585e-05
1917,3.178629995090887e-05
1918,2.9795516456943006e-05
1919,2.8352987283142283e-05
1920,2.693495735002216e-05
1921,2.631880051922053e-05
1922,2.664735002326779e-05
1923,2.846315546776168e-05
1924,2.9031006852164866e-05
1925,2.959769408334978e-05
1926,2.9149452166166158e-05
1927,2.848955300578382e-05
1928,2.7937217237195e-05
1929,2.628882502904162e-05
1930,2.548756601754576e-05
1931,2.5227769947377963e-05
1932,2.64842248725472e-05
1933,2.5569184435880744e-05
1934,2.6656118643586522e-05
1935,2.7507318372954613e-05
1936,2.6684603290050292e-05
1937,2.5931140044122003e-05
1938,2.9002602241234853e-05
1939,2.8582637241925113e-05
1940,2.734904337557964e-05
1941,2.795148429868277e-05
1942,2.869620257115457e-05
1943,2.7472151487017982e-05
1944,2.7910027711186558e-05
1945,2.8474254577304237e-05
1946,2.816356427501887e-05
1947,2.6256279670633376e-05
1948,2.483969510649331e-05
1949,2.7495039103087037e-05
1950,2.7575743297347798e-05
1951,2.7405491709942e-05
1952,2.9273276595631614e-05
1953,2.9843666561646386e-05
1954,2.679916942724958e-05
1955,2.639369085954968e-05
1956,2.843571492121555e-05
1957,2.771199433482252e-05
1958,2.875728823710233e-05
1959,2.962126782222185e-05
1960,3.0108501960057765e-05
1961,2.9930263190180993e-05
1962,2.9415016251732594e-05
1963,2.9194887247285806e-05
1964,2.7982127357972784e-05
1965,2.714219917834271e-05
1966,2.692167181521654e-05
1967,2.704279249883257e-05
1968,2.603715329314582e-05
1969,2.5841639580903574e-05
1970,2.7309226788929662e-05
1971,2.769383900158573e-05
1972,2.7685691020451485e-05
1973,2.7183591009816153e-05
1974,2.9087266011629253e-05
1975,2.8840836966992357e-05
1976,2.9096089201630092e-05
1977,2.8605320767383092e-05
1978,3.099501227552537e-05
1979,3.069217527809087e-05
1980,3.023004719580058e-05
1981,3.1304054937209e-05
1982,3.099815294262953e-05
1983,3.0090274958638474e-05
1984,2.773996238829568e-05
1985,2.7042415968026035e-05
1986,2.516761960578151e-05
1987,2.517328139219899e-05
1988,2.4742742607486434e-05
1989,2.5806868507061154e-05
1990,2.6932155014947058e-05
1991,2.6521325344219805e-05
1992,2.8766452669515274e-05
1993,2.774016211333219e-05
1994,2.8461281544878148e-05
1995,2.7686066823662257e-05
1996,2.8677599766524507e-05
1997,2.764502933132462e-05
1998,3.0392509506782518e-05
1999,2.9610341880470514e-05
2000,3.069222548219841e-05
2001,2.9989621543791146e-05
2002,2.8797525737900286e-05
2003,2.8229460440343246e-05
2004,3.0118140057311393e-05
2005,2.9656673723366113e-05
2006,2.8838708021794446e-05
2007,2.9778042153338903e-05
2008,2.962626349471975e-05
2009,2.9961576001369394e-05
2010,3.073432162636891e-05
2011,3.048838407266885e-05
2012,2.920996157627087e-05
2013,2.6907421488431283e-05
2014,2.420111013634596e-05
