year,pr
1854,9.840431994234678e-06
1855,9.640164353186265e-06
1856,9.440280518902e-06
1857,9.58611854002811e-06
1858,9.062832032213918e-06
1859,9.242490705219097e-06
1860,8.871899717632914e-06
1861,8.325971430167556e-06
1862,8.107227222353685e-06
1863,8.1130825492437e-06
1864,8.50323212944204e-06
1865,9.634126490709604e-06
1866,1.008492490655044e-05
1867,9.859923193289432e-06
1868,1.0057257532025687e-05
1869,9.428676094103139e-06
1870,8.841281123750378e-06
1871,8.58728508319473e-06
1872,8.646897913422436e-06
1873,8.959618025983217e-06
1874,9.54474635364022e-06
1875,9.360384319734294e-06
1876,9.928947838488966e-06
1877,1.0289529564033728e-05
1878,1.0094565004692413e-05
1879,1.0354839832871222e-05
1880,1.0477304749656469e-05
1881,9.879871322482359e-06
1882,9.84821490419563e-06
1883,9.542851694277488e-06
1884,8.636309758003335e-06
1885,9.028962449519894e-06
1886,9.546051296638325e-06
1887,9.457330997975078e-06
1888,9.617299292585813e-06
1889,9.851249888015446e-06
1890,9.410459460923448e-06
1891,9.620456512493548e-06
1892,9.317066724179312e-06
1893,9.141394184553064e-06
1894,9.362830678583122e-06
1895,9.55255836743163e-06
1896,8.460122899123235e-06
1897,8.877061827661236e-06
1898,8.68877523316769e-06
1899,8.540575799997896e-06
1900,8.249764869106002e-06
1901,8.63783106979099e-06
1902,8.399822854698869e-06
1903,8.75991736393189e-06
1904,9.04869975784095e-06
1905,9.251603660231922e-06
1906,9.919245530909394e-06
1907,9.584495273884386e-06
1908,9.926399070536717e-06
1909,9.703909745439887e-06
1910,1.0202658813796006e-05
1911,1.0155249037779868e-05
1912,1.041167361108819e-05
1913,1.036040011967998e-05
1914,1.0208035564573948e-05
1915,1.0109938739333301e-05
1916,9.637685616326053e-06
1917,9.559693717164919e-06
1918,9.818004946282599e-06
1919,1.0679835577320773e-05
1920,1.0096452206198591e-05
1921,1.0316572843294126e-05
1922,1.0650570948200766e-05
1923,9.759845033840974e-06
1924,8.643540695629781e-06
1925,8.52881521495874e-06
1926,8.319716198457171e-06
1927,8.823140433378285e-06
1928,1.0086393376695924e-05
1929,1.015500838548178e-05
1930,1.0666157504601869e-05
1931,1.0926642607955727e-05
1932,1.0689053306123242e-05
1933,9.686831072031055e-06
1934,9.51986612562905e-06
1935,9.397355916007654e-06
1936,9.647575370763662e-06
1937,9.100835723074851e-06
1938,9.947426678991179e-06
1939,1.0497487346583512e-05
1940,1.0807860417116898e-05
1941,1.0305597970727832e-05
1942,9.970018254534807e-06
1943,9.36223932512803e-06
1944,9.229371244146023e-06
1945,9.4761278887745e-06
1946,9.251721621694742e-06
1947,9.46775171541958e-06
1948,9.03953850865946e-06
1949,9.354255143989577e-06
1950,8.4508507825376e-06
1951,8.703876119398046e-06
1952,8.729193359613418e-06
1953,8.99617516552098e-06
1954,8.619426262157504e-06
1955,8.525378689228091e-06
1956,8.615612387075089e-06
1957,8.774676462053322e-06
1958,9.785406655282714e-06
1959,9.08459360289271e-06
1960,9.792112996365176e-06
1961,9.835913351707859e-06
1962,1.0007877153839218e-05
1963,9.025569943332811e-06
1964,9.497849350736943e-06
1965,9.331508408649825e-06
1966,9.520805724605452e-06
1967,9.23095976759214e-06
1968,8.869167504599319e-06
1969,9.095021232496947e-06
1970,9.095631867239717e-06
1971,9.135330947174225e-06
1972,9.028854401549325e-06
1973,9.747763942868915e-06
1974,9.993236926675308e-06
1975,9.491335913480724e-06
1976,9.077471258933655e-06
1977,9.450363359064795e-06
1978,9.321213656221517e-06
1979,8.871773570717777e-06
1980,8.808855272945949e-06
1981,8.89705515874084e-06
1982,8.513652574038133e-06
1983,8.26704563223757e-06
1984,8.377950871363283e-06
1985,8.731086018087808e-06
1986,9.3007882242091e-06
1987,9.754679922480136e-06
1988,9.962620242731646e-06
1989,9.989973477786407e-06
1990,9.63575521382154e-06
1991,9.451066489418736e-06
1992,9.144886007561581e-06
1993,8.973501735454192e-06
1994,8.966009681898868e-06
1995,9.437685730517841e-06
1996,9.43238483159803e-06
1997,1.0021320485975594e-05
1998,9.613032761990326e-06
1999,9.25370059121633e-06
2000,8.863704169925769e-06
2001,8.30928638606565e-06
2002,7.56842055125162e-06
2003,7.870795798226027e-06
2004,8.432770846411585e-06
2005,8.963909931480884e-06
2006,9.04720109247137e-06
2007,8.981921291706385e-06
2008,8.950405117502669e-06
2009,9.23363759284257e-06
2010,8.99437918633339e-06
2011,8.24992257548729e-06
2012,8.678045469423524e-06
2013,8.62696006151964e-06
2014,8.382367832382443e-06
